City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Trairi,BR,75.43,Rain,-3.2778,-39.2689,janelas do mar
450,Alto Araguaia,BR,81.36,Clouds,-17.3147,-53.2153,Araguaia Palace Hotel
458,Onverwacht,SR,89.98,Clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
459,Lubao,PH,78.6,Clouds,14.9167,120.55,Hacienda Gracia
460,Omboue,GA,78.44,Rain,-1.5746,9.2618,Hotel Olako
463,Tiarei,PF,82.42,Clouds,-17.5333,-149.3333,Le Rocher de Tahiti
466,Basco,PH,78.87,Clouds,20.4487,121.9702,Nathaniel's Lodge
469,Road Town,VG,84.24,Clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
471,Manadhoo,MV,83.59,Clouds,5.7667,73.3833,Bon Abri maldives
472,Quatre Cocos,MU,77.09,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
476,Port-Gentil,GA,81.72,Clouds,-0.7193,8.7815,Fengshui Residence
477,Buta,CD,79.68,Clouds,2.7858,24.73,HOTEL BISO NA BISO
479,Bandarbeyla,SO,81.07,Clouds,9.4942,50.8122,JABIR HOTEL
480,Biak,ID,76.68,Clouds,-0.9131,122.8766,Penginapan Kim
481,Baringo,KE,76.59,Clouds,0.4667,35.9667,Khoisang Hostels
483,Buraydah,SA,81.01,Clear,26.326,43.975,Mövenpick Qassim
485,Port Shepstone,ZA,75.42,Rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
488,Mecca,SA,81.07,Clear,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
489,Nouakchott,MR,89.53,Clear,18.0858,-15.9785,HOTEL IMAN
496,Paka,MY,78.12,Clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
498,Saint-Pierre,RE,78.48,Clear,-21.3393,55.4781,Lindsey Hôtel
501,Koraput,IN,76.03,Clear,18.8167,82.7167,Raj Residency
505,Cap Malheureux,MU,77.47,Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
508,Anicuns,BR,86.25,Clouds,-16.4611,-49.9617,Hotel Florida
510,Santa Rosa,PH,83.1,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
511,Sorong,ID,77.63,Clouds,-0.8833,131.25,Waigo Splash Hotel
512,Amarante Do Maranhao,BR,78.78,Clouds,-5.5667,-46.7422,Hotéis Caçulinha
517,Loandjili,CG,79.65,Clouds,-4.7561,11.8578,Résidence ARCHANGE
519,Ahuimanu,US,76.78,Rain,21.4447,-157.8378,Paradise Bay Resort
