City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Tigil,RU,57.8,158.6667,14.29,96,100,2.44,Clouds
72,Tasiilaq,GL,65.6145,-37.6368,34.3,99,100,7.05,Snow
73,Thanh Hoa,VN,19.8,105.7667,69.57,82,48,13.42,Clouds
74,Nisia Floresta,BR,-6.0911,-35.2086,86.81,58,58,12.33,Clouds
75,Birjand,IR,32.8663,59.2211,55.87,8,0,6.91,Clear
76,Severo-Kurilsk,RU,50.6789,156.125,29.16,87,94,17.31,Snow
77,Lebu,CL,-37.6167,-73.65,56.95,63,6,22.59,Clear
78,Egvekinot,RU,66.3167,-179.1667,2.34,88,90,17.2,Clouds
79,Najran,SA,17.4924,44.1277,72.25,15,0,5.08,Clear
80,Rabo De Peixe,PT,37.8,-25.5833,62.11,88,75,9.22,Clouds
81,Atherton,GB,53.5237,-2.4935,43.99,66,97,4.0,Clouds
82,Zhezkazgan,KZ,47.8043,67.7144,44.53,50,100,4.83,Clouds
83,Zabol,AF,32.25,67.25,58.01,21,0,8.57,Clear
84,Gombong,ID,-7.6072,109.5142,76.37,88,89,3.0,Rain
85,Galeana,MX,24.8333,-100.0667,71.67,20,72,2.26,Clouds
86,Iqaluit,CA,63.7506,-68.5145,28.13,92,100,6.91,Snow
87,Flin Flon,CA,54.7682,-101.865,33.64,51,75,5.75,Clouds
88,Morant Bay,JM,17.8815,-76.4093,90.72,72,20,15.21,Clouds
89,Kahului,US,20.8947,-156.47,76.84,81,0,11.01,Clear
90,Tandil,AR,-37.3217,-59.1332,61.12,47,42,10.45,Clouds
91,Preobrazheniye,RU,42.9019,133.9064,31.93,58,12,9.91,Clouds
92,Kloulklubed,PW,7.0419,134.2556,79.14,82,100,8.23,Clouds
93,Flinders,AU,-34.5833,150.8552,58.17,89,100,8.99,Rain
94,Geraldton,AU,-28.7667,114.6,75.61,78,40,9.22,Rain
95,Leh,IN,34.1667,77.5833,23.31,53,1,6.08,Clear
96,Souillac,MU,-20.5167,57.5167,79.18,78,75,16.11,Clouds
97,Lima,PE,-12.0432,-77.0282,71.85,64,0,9.22,Clear
98,Atar,MR,20.5169,-13.0499,90.84,11,32,11.03,Clouds
99,Barrow,US,71.2906,-156.7887,-16.58,69,0,14.97,Clear
100,Nouadhibou,MR,20.931,-17.0347,75.18,50,0,19.57,Sand
101,Dikson,RU,73.5069,80.5464,7.38,96,53,8.01,Clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,81.61,53,88,3.0,Clouds
103,Vostok,RU,46.4856,135.8833,14.0,97,95,3.89,Snow
104,Fortuna,US,40.5982,-124.1573,51.98,68,20,13.8,Clouds
105,Saldanha,ZA,-33.0117,17.9442,64.45,75,49,24.63,Clouds
106,Otofuke,JP,42.9917,143.2003,29.64,78,56,7.94,Clouds
107,Mackenzie,CA,55.2999,-123.1698,38.05,69,15,2.13,Clouds
108,Pathein,MM,16.7833,94.7333,75.83,91,19,6.96,Clouds
109,Sungaipenuh,ID,-2.0833,101.3833,64.71,80,98,2.08,Clouds
110,Port Alfred,ZA,-33.5906,26.891,64.18,92,100,1.99,Clouds
111,Qaanaaq,GL,77.484,-69.3632,22.41,70,53,4.83,Clouds
112,Campobasso,IT,41.6333,14.5833,53.82,89,96,10.18,Clouds
113,Cherskiy,RU,68.75,161.3,-15.16,100,99,4.61,Clouds
114,Mount Isa,AU,-20.7333,139.5,74.97,25,0,17.27,Clear
115,Luderitz,NA,-26.6481,15.1594,64.76,69,0,23.35,Clear
116,Hay River,CA,60.8156,-115.7999,17.58,86,100,18.41,Snow
117,Sistranda,NO,63.7256,8.834,33.76,60,100,13.47,Clouds
118,Gewane,ET,10.1664,40.6453,85.84,20,5,10.42,Clear
119,Makasar,ID,-5.14,119.4221,75.25,100,20,2.3,Clouds
120,Khatanga,RU,71.9667,102.5,-2.81,99,48,5.14,Clouds
121,Koumac,NC,-20.5667,164.2833,78.21,86,8,4.41,Clear
122,Vao,NC,-22.6667,167.4833,78.6,85,0,12.44,Clear
123,Agrestina,BR,-8.4581,-35.9447,78.67,75,99,7.23,Clouds
124,Provideniya,RU,64.3833,-173.3,18.32,84,100,19.42,Clouds
125,Atuona,PF,-9.8,-139.0333,78.55,73,15,9.28,Clouds
126,Bongandanga,CD,1.5,21.05,81.12,55,91,1.99,Clouds
127,Xichang,CN,27.8964,102.2634,44.42,93,100,5.48,Clouds
128,Camacha,PT,33.0833,-16.3333,60.22,72,75,11.5,Clouds
129,Richards Bay,ZA,-28.783,32.0377,74.57,84,4,9.44,Clear
130,Ancud,CL,-41.8697,-73.8203,62.22,62,100,4.97,Clouds
131,Zlitan,LY,32.4674,14.5687,66.9,61,36,13.67,Clouds
132,Faanui,PF,-16.4833,-151.75,82.35,65,39,15.43,Clouds
133,San Patricio,US,28.017,-97.5169,78.89,31,8,4.23,Clear
134,Teguise,ES,29.0605,-13.564,66.42,60,20,19.57,Clouds
135,Baherden,TM,38.4362,57.4316,67.05,29,40,5.44,Clouds
136,Constitucion,CL,-35.3333,-72.4167,66.87,44,0,16.28,Clear
137,Nanortalik,GL,60.1432,-45.2371,37.81,86,100,6.33,Clouds
138,Luganville,VU,-15.5333,167.1667,78.96,87,98,1.01,Clouds
139,Komsomolskiy,UZ,40.4272,71.7189,52.52,66,0,2.3,Clear
140,Deputatskiy,RU,69.3,139.9,-20.92,100,33,4.52,Clouds
141,Opuwo,NA,-18.0607,13.84,76.41,56,77,0.11,Clouds
142,Hualmay,PE,-11.0964,-77.6139,75.13,72,50,10.25,Clouds
143,Wawa,NG,9.9022,4.4192,95.7,23,10,3.96,Clear
144,Bredasdorp,ZA,-34.5322,20.0403,62.73,61,87,7.05,Clouds
145,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,99,4.36,Clouds
146,Faya,SA,18.3851,42.4509,68.11,41,0,8.28,Clear
147,Nyurba,RU,63.2842,118.3319,28.65,97,100,6.93,Snow
148,Rio Grande,BR,-32.035,-52.0986,68.11,44,3,11.74,Clear
149,Jacareacanga,BR,-6.2222,-57.7528,77.94,83,100,1.54,Clouds
150,College,US,64.8569,-147.8028,18.21,44,75,6.91,Clouds
151,Coracao De Jesus,BR,-16.6853,-44.365,90.46,29,14,7.7,Clouds
152,Parrita,CR,9.5201,-84.3225,86.9,58,81,7.47,Clouds
153,Tiksi,RU,71.6872,128.8694,1.71,99,100,6.62,Clouds
154,Shitanjing,CN,39.2342,106.3439,42.03,31,56,6.46,Clouds
155,Oktyabrskoye,RU,43.0645,44.7417,48.34,53,72,11.18,Clouds
156,Potam,MX,27.6,-110.3833,80.71,22,22,3.98,Clouds
157,Jamestown,US,42.097,-79.2353,67.51,50,75,25.32,Clouds
158,Port Elizabeth,ZA,-33.918,25.5701,67.1,83,100,9.22,Clouds
159,Pimentel,PE,-6.8367,-79.9342,82.69,54,0,10.36,Clear
160,Suez,EG,29.9737,32.5263,71.1,28,100,10.51,Clouds
161,Waipawa,NZ,-41.4122,175.5153,54.14,94,90,5.17,Clouds
162,Kameshkovo,RU,56.3481,41.0047,29.71,98,100,5.35,Snow
163,Shimoda,JP,34.6667,138.95,48.11,93,100,13.56,Rain
164,Touros,BR,-5.1989,-35.4608,80.19,78,99,12.12,Clouds
165,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,10.36,Clouds
166,Saintes,FR,45.6667,-0.75,46.15,95,89,23.17,Clouds
167,Aksu,CN,41.1231,80.2644,53.19,42,71,6.55,Clouds
168,Lanquin,GT,15.5667,-89.9667,92.93,32,60,5.03,Clouds
169,Dmitriyevskoye,RU,45.8053,41.8967,55.26,57,91,9.37,Clouds
170,Hilo,US,19.7297,-155.09,74.62,86,75,4.61,Clouds
171,Tautira,PF,-17.7333,-149.15,80.89,71,40,12.01,Clouds
172,Butaritari,KI,3.0707,172.7902,80.65,79,64,12.82,Clouds
173,Srednekolymsk,RU,67.45,153.6833,-15.65,100,96,2.66,Clouds
174,Sharjah,AE,25.3573,55.4033,77.29,78,0,8.05,Clear
175,Hithadhoo,MV,-0.6,73.0833,83.17,71,5,5.44,Clear
176,Abalak,RU,58.1286,68.5944,22.23,98,100,4.18,Clouds
177,Awjilah,LY,29.1081,21.2869,82.76,7,100,10.63,Clouds
178,Adrar,MR,20.5022,-10.0711,84.25,14,100,7.25,Clouds
179,Omsukchan,RU,62.5333,155.8,-3.37,98,100,6.02,Clouds
180,Bowen,AU,-20.0167,148.2333,72.79,74,4,3.69,Clear
181,Owando,CG,-0.4819,15.8999,84.27,51,83,3.83,Clouds
182,Broome,US,42.2506,-75.833,65.61,69,100,20.71,Clouds
183,Semme,FR,46.1963,1.5007,41.41,99,100,8.72,Rain
184,Domoni,KM,-12.2569,44.5319,80.06,86,100,7.58,Rain
185,Pevek,RU,69.7008,170.3133,-24.48,99,96,5.01,Clouds
186,Maragogi,BR,-9.0122,-35.2225,82.76,68,99,7.7,Clouds
187,Saint-Denis,FR,48.9167,2.3333,45.37,66,75,16.11,Clouds
188,Puerto Ayora,EC,-0.7393,-90.3518,80.56,77,94,5.66,Rain
189,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,89.71,49,97,4.63,Clouds
190,Nizwa,OM,22.9333,57.5333,82.22,18,0,2.91,Clear
191,Catamarca,AR,-28.4696,-65.7852,70.77,28,0,5.01,Clear
192,Aripuana,BR,-9.1667,-60.6333,79.68,83,93,2.28,Clouds
193,Ankang,CN,32.68,109.0172,53.62,85,100,1.16,Rain
194,Boa Vista,BR,2.8197,-60.6733,91.38,38,75,10.36,Clouds
195,Chokurdakh,RU,70.6333,147.9167,-31.63,100,93,2.46,Clouds
196,Chernyshevskiy,RU,63.0128,112.4714,22.26,94,98,9.86,Clouds
197,Baykit,RU,61.67,96.37,28.56,81,88,14.74,Clouds
198,El Jicaro,GT,14.9167,-89.9,96.33,25,50,3.24,Clouds
199,Thinadhoo,MV,0.5333,72.9333,82.85,70,15,4.12,Clouds
200,Salalah,OM,17.0151,54.0924,80.49,41,0,1.52,Clear
201,Fayaoue,NC,-20.65,166.5333,81.0,80,26,3.38,Clouds
202,East London,ZA,-33.0153,27.9116,67.14,94,75,5.75,Clouds
203,Henties Bay,NA,-22.116,14.2845,63.57,81,0,10.36,Clear
204,Bengkulu,ID,-3.8004,102.2655,76.21,81,83,4.25,Clouds
205,Constantine,DZ,36.365,6.6147,53.01,66,40,18.41,Clouds
206,Colares,PT,38.7992,-9.4469,60.48,67,75,20.0,Clouds
207,Fairbanks,US,64.8378,-147.7164,18.23,44,0,6.91,Clear
208,Puerto Lempira,HN,15.2667,-83.7667,87.94,70,40,11.5,Clouds
209,Tanhacu,BR,-14.0214,-41.2481,93.47,28,3,5.12,Clear
210,Languyan,PH,5.2618,120.0807,79.36,80,4,3.29,Clear
211,Vila,PT,42.0304,-8.1588,47.28,87,99,5.19,Clouds
212,Narsaq,GL,60.9167,-46.05,38.26,74,98,2.39,Clouds
213,Wajima,JP,37.4,136.9,41.83,55,94,12.01,Clouds
214,Ambilobe,MG,-13.2,49.05,73.33,95,55,3.56,Rain
215,Narasimharajapura,IN,13.6167,75.5167,73.02,94,63,3.74,Clouds
216,Half Moon Bay,US,37.4636,-122.4286,61.88,76,75,11.5,Mist
217,Clyde River,CA,70.4692,-68.5914,3.43,78,0,6.91,Clear
218,Mukhen,RU,48.1,136.1,19.71,93,97,6.35,Clouds
219,Olafsvik,IS,64.8945,-23.7142,39.65,79,98,7.27,Clouds
220,Prachin Buri,TH,14.0833,101.6667,83.01,60,77,5.55,Rain
221,Svetlogorsk,BY,52.6333,29.7333,34.86,96,100,10.51,Clouds
222,Linden,GY,6.0,-58.3,91.53,41,100,5.39,Clouds
223,Saint-Georges,GD,12.0564,-61.7485,83.88,70,40,23.02,Clouds
224,Kodiak,US,57.79,-152.4072,38.71,100,100,23.02,Rain
225,Nedjo,ET,9.5046,35.5019,73.71,26,96,4.47,Clouds
226,Shelopugino,RU,51.6514,117.5599,9.27,84,77,4.7,Clouds
227,Meulaboh,ID,4.1363,96.1285,77.61,82,87,1.77,Clouds
228,Turukhansk,RU,65.8167,87.9833,18.66,95,100,31.09,Snow
229,Carauari,BR,-4.8828,-66.8958,77.29,93,100,3.53,Rain
230,Zyryanka,RU,65.75,150.85,-6.54,97,99,8.19,Clouds
231,Palmares Do Sul,BR,-30.2578,-50.5097,64.2,55,16,11.95,Clouds
232,Port Macquarie,AU,-31.4333,152.9167,61.9,83,85,17.47,Clouds
233,Sassandra,CI,4.95,-6.0833,82.87,78,62,9.73,Clouds
234,Husavik,IS,66.0449,-17.3389,33.4,95,100,1.52,Snow
